open,high,low,close,tick_volume,returns
1.1436,1.1507,1.1427,1.1488,10106,0.004634892872759089
1.1489,1.1537,1.1458,1.1473,10521,-0.0013057103064066933
1.147,1.1502,1.1439,1.1478,9738,0.000435805804933187
1.1459,1.1641,1.1394,1.162,10569,0.012371493291514213
1.1616,1.1739,1.1572,1.1658,12003,0.00327022375215158
1.1653,1.1739,1.1643,1.1731,10442,0.006261794475896476
1.1731,1.1771,1.1662,1.1685,11330,-0.003921234336373702
1.1686,1.1724,1.1551,1.1582,10473,-0.008814719726144782
1.1574,1.1726,1.1531,1.1714,10230,0.011396995337592974
1.1713,1.1815,1.1697,1.1773,10618,0.005036708212395435
1.1773,1.1843,1.1764999999999999,1.1821,10571,0.004077125626433364
1.1821,1.1865,1.1685,1.1745,10780,-0.006429236105236269
1.1745,1.1851,1.1703000000000001,1.1799,10077,0.0045977011494251485
1.1809,1.1819,1.1652,1.1714,9594,-0.007204000339011696
1.1713,1.1767,1.1582,1.1733,11410,0.0016219907802630384
1.1732,1.1748,1.1588,1.1616,11206,-0.009971874200971675
1.1616,1.1698,1.1569,1.1599,10916,-0.001463498622589543
1.1599,1.1687,1.1544,1.1679,10255,0.006897146305715918
1.1703999999999999,1.1718,1.1602000000000001,1.1627,10855,-0.004452435996232462
1.1626,1.1703999999999999,1.1617,1.1671,10219,0.0037842951750235443
1.1668,1.183,1.165,1.1807,10453,0.011652814668837275
1.1809,1.1847,1.1755,1.1798,10645,-0.0007622596764632616
1.1797,1.186,1.1762,1.1786,10405,-0.0010171215460246241
1.1773,1.1787,1.1719,1.1739,10408,-0.003987782114373117
1.1739,1.1746,1.1657,1.1676,10970,-0.005366726296958779
1.1677,1.1723,1.1658,1.1667,10255,-0.0007708119218909903
1.1667,1.1759,1.1611,1.1627,10607,-0.003428473472186555
1.1626,1.166,1.1562999999999999,1.1586,10093,-0.0035262750494537975
1.1582,1.1623,1.1428,1.1466,9551,-0.01035732780942522
1.1466,1.1515,1.1427,1.1494,9197,0.0024420024420024333
1.1493,1.1501000000000001,1.1413,1.1438,9210,-0.00487210718635811
1.1439,1.1468,1.1389,1.1414,10069,-0.0020982689281342504
1.1411,1.1545,1.1376,1.152,10355,0.00928684072192043
1.1503,1.1538,1.1461000000000001,1.147,9762,-0.004340277777777679
1.147,1.1533,1.1444,1.1519,9485,0.004272013949433218
1.1514,1.1663000000000001,1.1506,1.163,10333,0.009636253146974694
1.1629,1.1749,1.1629,1.1735,10653,0.009028374892519286
1.1735,1.1806,1.1728,1.1784,10807,0.004175543246697888
1.1814,1.1852,1.1724,1.1748,10728,-0.003054989816700493
1.1747,1.1978,1.1735,1.1965,11013,0.018471229145386348
1.1968,1.1981,1.1873,1.1892,11454,-0.00610112829084819
1.1893,1.1968,1.1881,1.1911,10647,0.0015977127480659714
1.1911,1.1941,1.1856,1.1925,10279,0.0011753840987320796
1.1912,1.1921,1.1759,1.1773,9705,-0.012746331236897168
1.1773,1.1823,1.1754,1.18,10498,0.002293383164868601
1.18,1.195,1.1772,1.1932,10731,0.011186440677966258
1.1928,1.1944,1.1886,1.1916,8817,-0.001340931947703683
1.1916,1.2019,1.1899,1.1998,9677,0.006881503860355798
1.1988,1.2044,1.1935,1.1971,10994,-0.002250375062510357
1.1968,1.2116,1.1943,1.2106,10826,0.011277253362292017
1.2106,1.2131,1.2064,1.2118,11116,0.0009912440112340715
1.2117,1.2159,1.2028,1.2083,11001,-0.0028882653903284927
1.2085,1.2187999999999999,1.2062,1.2187999999999999,10865,0.008689894893652239
1.2167,1.2242,1.2151,1.223,10487,0.0034460124712833995
1.2227999999999999,1.2278,1.2186,1.2248999999999999,10480,0.001553556827473157
1.2248999999999999,1.2268,1.2151,1.2213,11277,-0.0029390154298308824
1.2212,1.2237,1.2114,1.2226,11133,0.0010644395316465882
1.2227000000000001,1.2309,1.2208,1.2276,10328,0.004089645018812371
1.2133,1.2327,1.2132,1.2315,11397,0.003176930596285432
1.2314,1.2365,1.2302,1.2333,11095,0.0014616321559075551
1.2334,1.2424,1.2296,1.2404,10930,0.005756912348982235
1.24,1.2443,1.2359,1.2423,11001,0.00153176394711374
1.2421,1.2435,1.2344,1.2382,9880,-0.0033003300330033403
1.2382,1.2449,1.2349999999999999,1.2408,10095,0.00209982232272643
1.2404,1.2429999999999999,1.2384,1.2405,9442,-0.00024177949709858204
1.2407,1.2473,1.2395,1.2448,8770,0.003466344216041861
1.2449,1.2464,1.2437,1.2449,3671,8.033419023134591e-05
1.245,1.2472,1.2421,1.2422,6712,-0.0021688489035263103
1.2433,1.2511999999999999,1.2426,1.2492,9377,0.005635163419739353
1.2492,1.2565,1.2478,1.2549000000000001,9395,0.004562920268972093
1.255,1.2649,1.2511999999999999,1.2588,9089,0.0031078173559644373
1.2591999999999999,1.2606,1.2533,1.2565,1124,-0.0018271369558309214
1.2570000000000001,1.2631000000000001,1.2523,1.2596,9752,0.002467170712296074
1.2609,1.2698,1.2608,1.2677,11043,0.006430612892981857
